,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed
89,cape town,-33.93,18.42,285.36,81,1,0.5
90,abnub,27.27,31.15,290.71,39,0,3.26
91,vao,-22.67,167.48,297.29,71,36,6.58
92,young,-32.68,-57.63,285.93,74,0,0.89
93,saint-augustin,51.23,-58.65,268.2,95,100,5.3
94,idrinskoye,54.37,92.14,275.97,78,100,2.78
95,thompson,55.74,-97.86,271.15,63,40,5.7
96,ribeira grande,38.52,-28.7,289.13,82,3,3.91
97,sabang,5.89,95.32,301.7,72,81,4.52
98,santarem,-2.44,-54.71,300.15,88,20,1.5
99,kuryk,43.2,51.65,279.14,63,7,7.83
100,myre,69.1,15.95,273.67,74,100,9.3
101,vokhtoga,58.81,41.05,273.71,89,52,2.14
102,cherskiy,68.75,161.3,255.21,92,55,5.88
103,bar harbor,44.39,-68.2,275.33,64,1,2.1
104,kaitangata,-46.28,169.85,288.15,61,100,1.34
105,hirado,33.36,129.55,286.04,76,75,1
106,new norfolk,-42.78,147.06,285.06,66,11,4.6
107,juneau,58.3,-134.42,277.15,86,90,2.1
108,leningradskiy,69.38,178.42,260.25,90,97,4.74
109,klaksvik,62.23,-6.59,275.15,69,42,4.1
110,pallasovka,50.05,46.88,278.94,59,60,6.51
111,caravelas,-17.71,-39.25,298.99,87,91,6.13
112,dunedin,-45.87,170.5,287.9,61,100,1.34
113,bredasdorp,-34.53,20.04,287.61,87,21,2.6
114,mahebourg,-20.41,57.7,298.71,82,70,1.79
115,kretinga,55.88,21.25,281.15,70,99,2.1
116,yuzhno-yeniseyskiy,,,,,,
117,san juan del sur,11.25,-85.87,303.7,55,30,9.98
118,dvinskoy,62.15,45.12,273.1,96,51,2.94
119,belushya guba,,,,,,
120,iqaluit,63.75,-68.51,258.92,77,5,1
121,penzance,50.12,-5.54,283,81,50,5.7
122,olafsvik,64.89,-23.71,274.37,85,80,4.21
123,obo,5.4,26.49,294.69,77,100,2.93
124,port elizabeth,-33.92,25.57,290.15,82,70,4.6
125,kirkwall,58.98,-2.96,275.51,86,0,2.1
126,meulaboh,4.14,96.13,299.23,81,100,1.86
127,keti bandar,24.14,67.45,297.41,77,0,4.66
128,gillette,44.29,-105.5,279.92,39,1,7.2
129,great bend,38.36,-98.76,293.65,28,1,8.7
130,tura,25.52,90.22,294.68,60,6,2.84
131,danane,7.26,-8.15,296.2,84,95,0.44
132,kamaishi,39.27,141.88,281.15,57,75,1.5
133,naze,28.37,129.48,295.66,49,75,5.7
134,portland,45.52,-122.68,294.54,33,20,5.1
135,severo-kurilsk,50.68,156.12,273.23,97,100,2.85
136,codrington,-38.27,141.97,288.81,74,5,4.25
137,mbandaka,0.05,18.26,295.61,87,91,0.92
138,atar,20.52,-13.05,299.89,15,0,3.01
139,kasama,-10.21,31.18,289.4,67,99,1.42
140,tsihombe,,,,,,
141,darfield,53.53,-1.38,282.7,76,50,0.5
142,vardo,70.37,31.11,274.01,94,97,8.48
143,grand river south east,,,,,,
144,wajima,37.4,136.9,281.15,61,40,3.1
145,georgetown,5.41,100.34,299.4,100,20,1.5
146,namibe,-15.2,12.15,297.31,51,0,3.59
147,araguacu,-12.93,-49.83,297.83,83,94,0.83
148,banda aceh,5.56,95.32,299.61,82,95,3.25
149,susangerd,31.56,48.18,296.15,46,75,2.1
150,pecos,31.42,-103.49,302.87,15,1,2.1
151,riyadh,24.69,46.72,300.15,34,40,2.6
152,champawat,29.33,80.1,282.81,32,0,1.34
153,vaitape,-16.52,-151.75,302.26,74,84,5.69
154,placido de castro,-10.34,-67.19,297.27,85,76,0.98
155,thunder bay,48.4,-89.32,278.19,38,40,7.7
156,melissokhorion,,,,,,
157,rondonopolis,-16.47,-54.64,297.48,78,91,1.56
158,umba,66.69,34.34,273.76,94,97,5.88
159,mar del plata,-38,-57.56,284.26,87,20,1.5
160,vostok,46.49,135.88,273.42,61,99,1.06
161,arraial do cabo,-22.97,-42.03,296.05,77,95,6.07
162,sao felix do xingu,-6.64,-51.99,297.61,83,51,0.4
163,korem,12.51,39.52,286.27,29,0,1.61
164,marienburg,54.04,19.03,284.67,47,87,5.1
165,rungata,,,,,,
166,price,39.6,-110.81,291.15,12,1,3.1
167,menongue,-14.66,17.69,290.06,51,0,1.71
168,paracuru,-3.41,-39.03,302.51,74,20,2.6
169,abu dhabi,24.47,54.37,300.17,30,0,1.5
170,nguiu,,,,,,
171,tarakan,3.3,117.63,299.64,80,36,1.26
172,saleaula,,,,,,
173,provideniya,64.38,-173.3,262.15,72,63,3
174,coquimbo,-29.95,-71.34,290.15,77,90,2.1
175,vaitupu,,,,,,
176,gorkovskoye,,,,,,
177,antofagasta,-23.65,-70.4,293.15,72,90,3.6
178,moose factory,51.26,-80.61,271.15,79,75,3.1
179,luanda,-8.84,13.23,299.15,83,20,4.1
180,dawei,14.08,98.2,297.07,72,42,1.8
181,ayan,56.45,138.17,275.35,83,48,3.57
182,zhoucheng,35.91,116.31,284.22,65,100,3.66
183,salalah,17.02,54.09,299.15,69,20,1.5
184,port hedland,-20.32,118.57,301.15,69,90,4.1
185,victoria,22.29,114.16,294.12,52,66,3.6
186,cidreira,-30.18,-50.21,290.52,78,32,6.56
187,tasiilaq,65.61,-37.64,269.15,68,2,3.6
188,naples,40.83,14.25,283.24,71,0,1
189,hirara,24.8,125.28,295.15,78,75,5.1
190,luderitz,-26.65,15.16,286.15,87,61,1
191,bengkulu,-3.8,102.27,298.87,78,89,2.25
192,havoysund,71,24.66,271.15,92,100,7.7
193,solnechnyy,50.72,136.63,275.31,67,0,1.59
194,tiksi,71.69,128.87,262.71,94,61,2.8
195,blyznyuky,48.86,36.56,279.85,76,8,3.34
196,palabuhanratu,,,,,,
197,opuwo,-18.06,13.84,292.52,25,6,1.59
198,nawa,27.02,75,294.73,26,0,2.02
199,komsomolskiy,40.43,71.72,275.15,45,90,2.1
200,port augusta,-32.5,137.77,292.07,63,0,0.5
201,soe,-9.86,124.28,295.23,76,100,0.71
202,tulnici,45.92,26.67,278.15,56,0,2.1
203,marcona,,,,,,
204,americo brasiliense,-21.72,-48.1,291.16,70,4,4.05
205,amderma,,,,,,
206,broken hill,-31.95,141.43,288.15,62,0,3.1
207,faanui,-16.48,-151.75,301.87,73,84,5.68
208,zhanatas,,,,,,
209,owando,-0.48,15.9,295.27,87,100,1.46
210,afrikanda,67.44,32.78,271.12,95,69,3.91
211,cabo san lucas,22.89,-109.91,296.69,64,90,8.7
212,touros,-5.2,-35.46,300.15,88,20,1.5
213,twin falls,42.56,-114.46,291.73,22,1,2.1
214,moinesti,46.47,26.48,279.47,56,0,2.1
215,port hardy,50.7,-127.42,285.15,50,40,4.1
216,humaita,-7.51,-63.02,297.84,95,100,0.92
217,stepnyak,52.83,70.78,270.29,87,0,4.99
218,zomin,39.96,68.4,272.31,77,100,2.62
219,grand gaube,-20.01,57.66,298.86,83,40,3.6
220,bathsheba,13.22,-59.52,300.15,69,75,6.7
221,hamilton,39.18,-84.53,294.17,43,1,2.62
222,nizhneyansk,,,,,,
223,comodoro rivadavia,-45.87,-67.5,293.15,32,0,5.7
224,katsuura,35.13,140.3,288.14,71,40,4.1
225,lata,40.16,-8.33,288.37,87,75,1
226,altay,47.87,88.12,280.86,36,0,2.42
227,pyaozerskiy,65.83,31.17,273.56,89,98,4.96
228,te anau,-45.42,167.72,284.91,65,98,2.7
229,semenivka,52.18,32.58,277.92,82,1,2.25
230,beni,0.5,29.47,293.74,55,59,1.84
231,yamada,39.47,141.95,282.83,53,63,2.44
232,maxixe,-23.86,35.35,296.21,75,43,7.1
233,yerofey pavlovich,53.97,121.97,273.42,69,0,0.91
234,mae hong son,19.3,97.97,297.15,64,40,0.51
235,clyde river,70.47,-68.59,259.15,84,1,2.1
236,tevaitoa,-16.78,-151.5,302.23,73,86,5.3
237,ondorhaan,,,,,,
238,jumla,29.27,82.18,276.85,27,1,2.25
239,beloha,-25.17,45.05,294.83,85,46,4.58
240,tilichiki,60.47,166.1,263.06,90,25,2.16
241,sant feliu de guixols,41.78,3.03,282.61,93,14,1.76
242,mananjary,-21.22,48.33,297.06,86,7,1.93
243,capim grosso,-11.38,-40.01,298.35,64,44,2.4
244,pochutla,15.74,-96.47,302.15,83,5,3.1
245,mozarlandia,-14.74,-50.57,298.52,79,72,2.27
246,praia,14.92,-23.51,298.15,53,0,5.7
247,guaira,-20.32,-48.31,294.77,77,23,2.98
248,sitka,57.05,-135.33,278,77,75,6.2
249,bushehr,28.97,50.84,298.99,43,36,1.68
250,pisco,-13.7,-76.22,295.34,83,40,3.6
251,faya,18.39,42.45,290.15,67,17,1.15
252,berlevag,70.86,29.09,272.27,97,100,13.7
253,la ronge,55.1,-105.28,268.15,57,75,7.2
254,port pirie,-33.18,138.02,292.15,63,0,0.5
255,alofi,-19.06,-169.92,301.52,84,94,11.7
256,timra,62.49,17.33,273.69,100,67,1
257,tooele,40.53,-112.3,290.87,42,1,6.2
258,halalo,,,,,,
259,posse,-14.09,-46.37,295.67,73,92,0.39
260,deputatskiy,69.3,139.9,258.86,88,29,1.59
261,zabol,32.25,67.25,285.01,28,86,6.16
262,kohlu,29.9,69.25,289.78,31,3,0.44
263,ilulissat,69.22,-51.1,263.15,56,0,0.5
264,honnali,14.25,75.67,295.13,58,5,1.87
265,birao,10.28,22.79,301.78,37,62,1.72
266,samusu,,,,,,
267,inongo,-1.95,18.27,295.14,89,100,0.94
268,oga,46.46,10.35,273.98,79,6,1
269,nemuro,43.32,145.57,273.15,93,75,5.1
270,natal,-5.79,-35.21,300.15,88,20,1.5
271,upernavik,72.79,-56.15,261.83,84,0,1.96
272,eyrarbakki,63.86,-21.15,268.28,74,40,3.1
273,tessalit,20.2,1.01,298.39,12,0,2.79
274,narsaq,60.92,-46.05,278.15,25,100,5.7
275,viedma,-40.81,-63,287.23,53,0,6.35
276,sola,-13.88,167.55,304.15,74,40,0.77
277,sao francisco,-15.95,-44.86,296.89,73,92,1.09
278,mianwali,32.57,71.53,293.44,46,51,0.56
279,mullaitivu,,,,,,
280,mount isa,-20.73,139.5,300.15,28,40,3.6
281,kirovskiy,45.09,133.51,276.2,70,13,1.87
282,plouzane,48.38,-4.62,282.75,93,3,1.5
283,mosquera,4.71,-74.23,287.15,82,40,1
284,waipawa,-41.41,175.52,287.86,62,86,9.8
285,akureyri,65.68,-18.09,268.15,67,10,9.3
286,kaeo,-35.1,173.78,293.45,64,46,5.81
287,devils lake,48.11,-98.87,274.79,64,75,11.8
288,lere,10.39,8.57,298.77,49,55,2.31
289,barentsburg,,,,,,
290,verkhnyaya sinyachikha,57.98,61.67,268.68,93,12,3.9
291,poum,-20.23,164.02,299.2,77,0,6.75
292,anadyr,64.75,177.48,262.09,72,92,2
293,salamanca,40.83,-6,286.03,82,99,2.1
294,treinta y tres,-33.23,-54.38,283.63,86,46,2.94
295,sao filipe,14.9,-24.5,298.35,61,0,6.25
296,maputo,-25.97,32.59,293.18,78,95,3.39
297,fortuna,40.6,-124.16,289.5,76,20,5.1
298,jinchengjiang,,,,,,
299,mvuma,-19.28,30.53,289.88,58,88,5.38
300,hatod,22.8,75.73,296.15,46,20,2.6
301,lorengau,-2.02,147.27,301.82,76,34,2.71
302,marsh harbour,26.54,-77.06,298.8,77,21,4.41
303,mayo,38.89,-76.51,292.47,37,1,3.1
304,carnarvon,-24.87,113.63,297.15,73,70,2.6
305,sentyabrskiy,,,,,,
306,paka,4.64,103.44,297.1,100,20,0.5
307,rameswaram,9.28,79.3,302.18,77,17,3.94
308,troitsko-pechorsk,62.71,56.2,267.62,97,72,2.73
309,vanimo,-2.67,141.3,301.57,72,48,1.35
310,bargal,,,,,,
311,gat,31.61,34.76,284,76,28,1.5
312,chumikan,54.72,135.31,275.98,78,24,3.98
313,severomuysk,56.15,113.43,269.83,58,0,0.25
314,north bend,43.41,-124.22,288.97,71,1,10.8
315,camargo,27.67,-105.17,300.18,19,93,6.43
316,meyungs,,,,,,
317,tezu,27.92,96.17,294.67,34,21,1.18
318,isangel,-19.55,169.27,302.15,66,40,5.1
319,karabanovo,56.32,38.7,274.75,90,14,2.2
320,ambulu,-8.35,113.61,299.55,77,45,1.71
321,ambon,-3.7,128.18,302.15,74,20,1.5
322,ahipara,-35.17,173.17,291.85,66,48,8.51
323,tonk,26.17,75.78,296.04,26,0,2.23
324,xudat,41.63,48.68,277.38,68,0,1.73
325,mitu,1.2,-70.17,297.13,92,100,0.27
326,preston,53.77,-2.72,281.88,76,69,2.1
327,dinsor,,,,,,
328,cascais,38.7,-9.42,288.88,82,100,3.6
329,dataganj,28.03,79.4,295.07,30,0,2.2
330,zanjan,36.67,48.48,274.4,43,99,3.16
331,malwan,,,,,,
332,saint george,37.1,-113.58,285.04,67,90,3.1
333,half moon bay,37.46,-122.43,287.73,81,90,3.6
334,manado,1.49,124.85,302.15,74,20,1
335,adamas,36.73,24.43,285.15,71,30,5.1
336,neustrelitz,53.37,13.08,280.37,78,52,3.1
337,saryshagan,,,,,,
338,saldanha,-33.01,17.94,288.15,47,0,3.1
339,praxedis guerrero,31.37,-106.02,298.41,16,90,4.6
340,lompoc,34.64,-120.46,284.6,66,90,4.1
341,kungurtug,50.6,97.52,271.09,57,0,1.73
342,plettenberg bay,-34.05,23.37,288.89,72,95,4.06
343,hovd,48.01,91.64,275.11,43,0,0.88
344,dingle,11,122.67,300.9,70,72,4.22
345,sept-iles,50.2,-66.38,272.67,50,20,2.1
346,amahai,-3.33,128.92,301.12,69,71,3.1
347,atbasar,51.8,68.33,270.86,88,0,4.59
348,sembe,1.65,14.58,295.45,81,100,1.6
349,chuy,-33.7,-53.46,288.59,80,38,5.6
350,lavrentiya,65.58,-171,261.11,89,5,3.79
351,dwarka,22.24,68.97,298.34,85,0,5.34
352,jacareacanga,-6.22,-57.75,298.07,92,100,0.51
353,mocambique,,,,,,
354,brigantine,39.41,-74.36,282.76,76,90,4.1
355,samarai,-10.62,150.67,301.77,71,20,3.29
356,bilma,18.69,12.92,299.95,14,81,8.24
357,xai-xai,-25.05,33.64,294.79,77,44,4.34
358,chardara,41.25,67.97,275.73,80,100,3.76
359,shumskiy,54.83,99.13,276.77,62,78,0.75
360,yerbogachen,61.28,108.01,276.24,79,0,2.56
361,laguna,38.42,-121.42,289.61,67,1,0.82
362,ha tinh,18.33,105.9,295.31,88,99,2.84
363,ye,,,,,,
364,acajutla,13.59,-89.83,298.71,92,3,1.79
365,mercedes,-34.65,-59.43,284.38,69,0,0.45
366,margate,51.38,1.39,282.55,93,18,1
367,oyama,36.3,139.8,288.7,41,20,4.1
368,cayenne,4.93,-52.33,301.15,74,40,3.6
369,kavaratti,10.57,72.64,301.82,66,3,3.56
370,moron,-34.65,-58.62,286.51,81,0,1
371,amga,60.9,131.96,273.98,87,100,2.09
372,marihatag,8.79,126.3,300.92,72,9,1.13
373,camacha,33.08,-16.33,292.44,93,75,4.6
374,omsukchan,62.53,155.8,267.62,89,95,2.23
375,san miguel,13.48,-88.18,305.57,48,0,3.38
376,high rock,26.62,-78.28,300.15,83,20,2.1
377,alyangula,-13.85,136.42,301.15,78,100,0.5
378,vila,42.03,-8.16,287.82,87,75,2.1
379,sao mateus,-18.72,-39.86,296.98,87,100,5.48
380,kitimat,54.05,-128.65,279.58,56,90,12.3
381,oistins,13.07,-59.53,300.15,69,75,6.7
382,poya,-21.35,165.15,298.57,74,42,6.24
383,rajgarh,28.63,75.38,295.23,28,5,2.32
384,shingu,33.73,135.98,288.15,33,3,2.6
385,rio gallegos,-51.62,-69.22,290.15,51,0,3.1
386,smithers,54.78,-127.17,282.15,34,90,1.5
387,toliary,,,,,,
388,burnie,-41.07,145.92,287.73,72,57,2.28
389,kondinskoye,59.65,67.41,268.26,96,100,6.07
390,yairipok,24.67,94.07,288.8,48,1,0.71
391,artyk,,,,,,
392,slavonice,49,15.35,277.56,44,0,0.82
393,kishi,9.08,3.85,299.6,63,80,4.81
394,makinsk,52.63,70.42,269.79,88,0,5.02
395,harper,4.38,-7.72,300.89,82,54,2.67
396,heiligenhafen,54.37,10.98,282.23,76,4,0.45
397,harbour breton,47.48,-55.8,271.89,98,100,8.87
398,quimper,48,-4.1,283.29,87,0,1.5
399,bansi,27.18,82.93,295.3,31,0,1.2
400,buy,58.48,41.53,274.19,89,28,2.07
401,wanning,18.8,110.4,297.19,89,93,4.71
402,egvekinot,66.32,-179.17,255.26,86,7,0.47
403,oussouye,12.48,-16.55,296.15,88,0,2.1
404,kamenka,51.32,42.77,278.14,62,90,1.82
405,petropavlovsk-kamchatskiy,53.05,158.65,276.15,55,20,2
406,erzin,36.96,36.2,286.47,71,40,3.1
407,srednekolymsk,67.45,153.68,258.3,91,85,3.2
408,mahina,-17.51,-149.49,305.15,62,85,5.7
409,touho,-20.78,165.23,298.93,75,52,5.92
410,bukachacha,52.98,116.92,275.63,53,93,0.45
411,zhigansk,66.77,123.37,273.36,95,100,5.39
412,ancud,-41.87,-73.82,286.15,82,0,2.1
413,pafos,34.77,32.42,284.54,87,40,2.6
414,chernyshevsk,52.52,117.02,275.41,55,67,0.89
415,charters towers,-20.1,146.27,298.96,49,0,5.77
416,wanaka,-44.7,169.15,285.78,45,100,1.73
417,kawana waters,,,,,,
418,rocha,-34.48,-54.33,285.74,88,33,3.19
419,kisangani,0.52,25.2,295.6,86,86,1.76
420,san cristobal,7.77,-72.22,295.55,60,95,0.61
421,ngukurr,,,,,,
422,nadvoitsy,63.87,34.32,275.51,82,100,4.63
423,nador,35.17,-2.93,288.69,87,75,2.6
424,pyay,18.82,95.22,296.15,69,19,1.22
425,agirish,61.92,63.02,265.69,91,49,4.74
426,kenai,60.55,-151.26,273.97,88,1,5.1
427,rabo de peixe,37.8,-25.58,289.15,93,20,2.6
428,ngunguru,-35.62,174.5,293.29,61,65,5.81
429,saint-joseph,-21.37,55.62,293.6,69,2,4.1
430,conde,-7.26,-34.91,299.15,88,40,2.1
431,miranorte,,,,,,
432,maria chiquita,9.44,-79.76,300.85,74,40,4.1
433,nhulunbuy,-12.23,136.77,300.15,83,75,5.1
434,prabumulih,-3.45,104.25,297.38,94,100,0.26
435,chokurdakh,70.63,147.92,251.95,91,54,3.42
436,nakamura,32.98,132.93,289.89,40,43,1.36
437,puerto carreno,6.19,-67.49,306.15,46,40,4.6
438,zhovti vody,48.35,33.5,280.15,52,10,3
439,nome,64.5,-165.41,260.83,84,90,2.6
440,amapa,1,-52,296.73,93,100,1.27
441,tabiauea,,,,,,
442,narasannapeta,18.42,84.05,298.87,69,35,2.35
443,batagay-alyta,67.8,130.41,268.92,88,100,1.54
444,rawannawi,,,,,,
445,nioki,-2.72,17.68,295.91,87,100,0.62
446,bubaque,11.28,-15.83,299.37,74,0,7.31
447,bourail,-21.57,165.48,299.22,65,74,4.01
448,arlit,18.74,7.39,302.57,12,93,6
449,walvis bay,-22.96,14.51,287.35,87,0,0.5
450,aykhal,66,111.5,276.15,29,50,4
451,gazojak,41.19,61.4,276.21,70,0,2.05
452,tumannyy,,,,,,
453,nuuk,64.18,-51.72,270.15,49,0,7.7
454,necochea,-38.55,-58.74,280.93,81,0,2.24
455,palmer,42.16,-72.33,281.04,71,20,1.5
456,husavik,66.04,-17.34,268.15,67,1,9.3
457,george,-33.96,22.46,282.15,87,99,1
458,norman wells,65.28,-126.83,273.15,92,90,7.2
459,praia da vitoria,38.73,-27.07,288.15,87,20,4.19
460,mtimbira,-8.78,36.35,295.6,83,99,0.8
461,ayagoz,47.97,80.44,274.91,74,100,5.97
462,chingirlau,51.09,54.08,277.96,67,100,5.9
463,cassilandia,-19.11,-51.73,294.97,77,68,2.03
464,vila velha,-20.33,-40.29,295.74,83,90,2.6
465,valencia,39.33,-0.83,284.85,87,79,2.6
466,batemans bay,-35.72,150.18,290.26,96,71,1.12
467,springbok,-29.66,17.89,287.48,25,79,2.9
468,valjala,,,,,,
469,sur,22.57,59.53,300.22,41,0,2.66
470,wote,-1.78,37.63,291.86,70,72,1.32
471,kloulklubed,7.04,134.26,302.15,74,75,3.1
472,sisimiut,66.94,-53.67,266.71,87,3,3.37
473,hammerfest,70.66,23.68,271.15,92,100,7.7
474,felidhoo,,,,,,
475,the valley,18.22,-63.06,300.45,74,20,2.1
476,totskoye,52.52,52.76,277.23,82,100,3.91
477,orocue,4.79,-71.34,302.2,67,97,1.41
478,ponta do sol,32.67,-17.1,291.35,82,40,4.6
479,hambantota,6.12,81.12,299.33,79,13,1.94
480,energetik,51.74,58.79,271.98,90,86,2.86
481,cairns,-16.92,145.77,301.18,61,40,5.1
482,san carlos del zulia,9,-71.91,301.3,77,99,1.85
483,najran,17.49,44.13,296.15,23,1,0.9
484,shimonoseki,33.95,130.95,286.29,66,20,1
485,niltepec,16.57,-94.62,305.1,53,29,2.41
486,angoche,-16.23,39.91,298.65,84,25,3.24
487,kuremaa,58.74,26.54,279.72,66,100,5.1
488,nouadhibou,20.93,-17.03,293.14,76,0,10.83
489,mao,39.89,4.27,285.15,76,4,1
490,mackay,-21.15,149.2,299.72,61,75,7.2
491,nanortalik,60.14,-45.24,273.14,90,99,6.1
492,valparaiso,-33.04,-71.63,287.98,82,75,1.5
493,port blair,11.67,92.75,300.39,77,44,2.24
494,pula,44.87,13.85,284.35,28,0,4.6
495,kattivakkam,13.22,80.32,301.79,83,40,3.1
496,sorland,67.67,12.69,275.75,82,67,9.44
497,kyabe,9.45,18.94,300.97,50,81,3.3
498,bireun,5.2,96.7,299.88,74,98,0.49
499,humberto de campos,-2.6,-43.46,298.67,89,99,2.06
500,lalomanu,,,,,,
501,fairbanks,64.84,-147.72,271.97,36,75,4.1
502,black river,18.03,-77.85,299.82,88,84,2.19
503,la asuncion,11.03,-63.86,304.15,62,100,9.8
504,abashiri,44.02,144.27,272.15,86,75,3.1
505,gulshat,,,,,,
506,monrovia,6.3,-10.8,298.15,94,75,5.1
507,santa rosa,14.31,121.11,303.02,70,40,1
508,tungao,8.78,125.57,301.4,68,49,0.72
509,hay river,60.82,-115.8,268.15,57,20,4.1
510,cockburn town,21.46,-71.14,298.26,70,9,4.21
511,lanzhou,36.06,103.79,280.6,29,11,3
512,luena,-11.78,19.92,290.36,61,27,2.11
513,seydi,39.48,62.91,277.68,54,42,2.37
514,teahupoo,-17.83,-149.27,305.15,62,90,5.7
515,kahului,20.89,-156.47,298.43,51,20,4.6
516,shigony,53.39,48.68,278.43,80,71,2.74
517,kushima,31.46,131.23,287.92,36,75,2.6
518,sao bernardo,-3.36,-42.42,298.01,94,100,1.61
519,bandar,2.05,99.75,297.07,85,72,0.46
520,kuldiga,56.97,21.96,279.15,75,100,6.7
521,oranjemund,-28.55,16.43,288.72,56,71,1.6
522,qasigiannguit,68.82,-51.19,263.15,56,0,0.5
523,san bartolome,27.92,-15.57,292.76,82,20,9.3
524,botwood,49.15,-55.35,270.39,79,40,4.1
525,safaga,26.73,33.94,293.18,42,0,4.87
